77%,"100-149,9",118
77%,"150-199,9",150
77%,"200-299,9",215
77%,"300-399,9",260
77%,"400-499,9",320
77%,"500-599,9",318
77%,"600-699,9",368
77%,700-1000,455
78%,"0-49,9",77
78%,"50-99,9",89
78%,"100-149,9",118
78%,"150-199,9",150
78%,"200-299,9",215
78%,"300-399,9",260
78%,"400-499,9",320
78%,"500-599,9",318
78%,"600-699,9",368
78%,700-1000,455
81%,"0-49,9",77
81%,"50-99,9",89
81%,"100-149,9",118
81%,"150-199,9",150
81%,"200-299,9",215
81%,"300-399,9",260
81%,"400-499,9",320
81%,"500-599,9",318
81%,"600-699,9",368
81%,700-1000,455
91%,"0-49,9",77
91%,"50-99,9",89
91%,"100-149,9",118
91%,"150-199,9",150
91%,"200-299,9",215
91%,"300-399,9",260
91%,"400-499,9",320
91%,"500-599,9",318
91%,"600-699,9",368
91%,700-1000,455
92%,"0-49,9",77
92%,"50-99,9",89
92%,"100-149,9",118
92%,"150-199,9",150
92%,"200-299,9",215
92%,"300-399,9",260
92%,"400-499,9",320
92%,"500-599,9",318
92%,"600-699,9",368
92%,700-1000,455
93%,"0-49,9",77
93%,"50-99,9",89
93%,"100-149,9",118
93%,"150-199,9",150
93%,"200-299,9",215
93%,"300-399,9",260
93%,"400-499,9",320
93%,"500-599,9",318
93%,"600-699,9",368
93%,700-1000,455
94%,"0-49,9",77
94%,"50-99,9",89
94%,"100-149,9",118
94%,"150-199,9",150
94%,"200-299,9",215
94%,"300-399,9",260
94%,"400-499,9",320
94%,"500-599,9",318
94%,"600-699,9",368
94%,700-1000,455
95%,"0-49,9",77
95%,"50-99,9",89
95%,"100-149,9",118
95%,"150-199,9",150
95%,"200-299,9",215
95%,"300-399,9",260
95%,"400-499,9",320
95%,"500-599,9",318
95%,"600-699,9",368
95%,700-1000,455
20%,"0-49,9",105
20%,"50-99,9",121
20%,"100-149,9",163
20%,"150-199,9",210
20%,"200-299,9",304
20%,"300-399,9",371
20%,"400-499,9",458
20%,"500-599,9",456
20%,"600-699,9",529
20%,700-1000,657
22%,"0-49,9",105
22%,"50-99,9",121
22%,"100-149,9",163
22%,"150-199,9",210
22%,"200-299,9",304
22%,"300-399,9",371
22%,"400-499,9",458
22%,"500-599,9",456
22%,"600-699,9",529
22%,700-1000,657
29%,"0-49,9",105
29%,"50-99,9",121
29%,"100-149,9",163
29%,"150-199,9",210
29%,"200-299,9",304
29%,"300-399,9",371
29%,"400-499,9",458
29%,"500-599,9",456
29%,"600-699,9",529
29%,700-1000,657
35%,"0-49,9",105
35%,"50-99,9",121
35%,"100-149,9",163
35%,"150-199,9",210
35%,"200-299,9",304
35%,"300-399,9",371
35%,"400-499,9",458
35%,"500-599,9",456
35%,"600-699,9",529
35%,700-1000,657
40%,"0-49,9",105
40%,"50-99,9",121
40%,"100-149,9",163
