33*,"399,9-499,9",300
33*,"499,9-599,9",300
33*,"599,9-699,9",300
33*,"699,9-1000",300
46*,"0-49,9",77
46*,"0,49-99,9",89
46*,"99,9-149,9",118
46*,"149,9-199,9",150
46*,"199,9-299,9",215
46*,"299,9-399,9",260
46*,"399,9-499,9",300
46*,"499,9-599,9",300
46*,"599,9-699,9",300
46*,"699,9-1000",300
56*,"0-49,9",77
56*,"0,49-99,9",89
56*,"99,9-149,9",118
56*,"149,9-199,9",150
56*,"199,9-299,9",215
56*,"299,9-399,9",260
56*,"399,9-499,9",300
56*,"499,9-599,9",300
56*,"599,9-699,9",300
56*,"699,9-1000",300
59*,"0-49,9",77
59*,"0,49-99,9",89
59*,"99,9-149,9",118
59*,"149,9-199,9",150
59*,"199,9-299,9",215
59*,"299,9-399,9",260
59*,"399,9-499,9",300
59*,"499,9-599,9",300
59*,"599,9-699,9",300
59*,"699,9-1000",300
61*,"0-49,9",77
61*,"0,49-99,9",89
61*,"99,9-149,9",118
61*,"149,9-199,9",150
61*,"199,9-299,9",215
61*,"299,9-399,9",260
61*,"399,9-499,9",300
61*,"499,9-599,9",300
61*,"599,9-699,9",300
61*,"699,9-1000",300
62*,"0-49,9",77
62*,"0,49-99,9",89
62*,"99,9-149,9",118
62*,"149,9-199,9",150
62*,"199,9-299,9",215
62*,"299,9-399,9",260
62*,"399,9-499,9",300
62*,"499,9-599,9",300
62*,"599,9-699,9",300
62*,"699,9-1000",300
65*,"0-49,9",77
65*,"0,49-99,9",89
65*,"99,9-149,9",118
65*,"149,9-199,9",150
65*,"199,9-299,9",215
65*,"299,9-399,9",260
65*,"399,9-499,9",300
65*,"499,9-599,9",300
65*,"599,9-699,9",300
65*,"699,9-1000",300
72*,"0-49,9",77
72*,"0,49-99,9",89
72*,"99,9-149,9",118
72*,"149,9-199,9",150
72*,"199,9-299,9",215
72*,"299,9-399,9",260
72*,"399,9-499,9",300
72*,"499,9-599,9",300
72*,"599,9-699,9",300
72*,"699,9-1000",300
75*,"0-49,9",77
75*,"0,49-99,9",89
75*,"99,9-149,9",118
75*,"149,9-199,9",150
75*,"199,9-299,9",215
75*,"299,9-399,9",260
75*,"399,9-499,9",300
75*,"499,9-599,9",300
75*,"599,9-699,9",300
75*,"699,9-1000",300
77*,"0-49,9",77
77*,"0,49-99,9",89
77*,"99,9-149,9",118
77*,"149,9-199,9",150
77*,"199,9-299,9",215
77*,"299,9-399,9",260
77*,"399,9-499,9",300
77*,"499,9-599,9",300
77*,"599,9-699,9",300
77*,"699,9-1000",300
78*,"0-49,9",77
78*,"0,49-99,9",89
78*,"99,9-149,9",118
78*,"149,9-199,9",150
78*,"199,9-299,9",215
78*,"299,9-399,9",260
78*,"399,9-499,9",300
78*,"499,9-599,9",300
78*,"599,9-699,9",300
78*,"699,9-1000",300
81*,"0-49,9",77
81*,"0,49-99,9",89
81*,"99,9-149,9",118
81*,"149,9-199,9",150
81*,"199,9-299,9",215
81*,"299,9-399,9",260
81*,"399,9-499,9",300
81*,"499,9-599,9",300
81*,"599,9-699,9",300
81*,"699,9-1000",300
91*,"0-49,9",77
91*,"0,49-99,9",89
91*,"99,9-149,9",118
91*,"149,9-199,9",150
91*,"199,9-299,9",215
91*,"299,9-399,9",260
91*,"399,9-499,9",300
91*,"499,9-599,9",300
91*,"599,9-699,9",300
91*,"699,9-1000",300
92*,"0-49,9",77
92*,"0,49-99,9",89
92*,"99,9-149,9",118
92*,"149,9-199,9",150
92*,"199,9-299,9",215
92*,"299,9-399,9",260
92*,"399,9-499,9",300
92*,"499,9-599,9",300
92*,"599,9-699,9",300
92*,"699,9-1000",300
93*,"0-49,9",77
93*,"0,49-99,9",89
93*,"99,9-149,9",118
93*,"149,9-199,9",150
93*,"199,9-299,9",215
93*,"299,9-399,9",260
93*,"399,9-499,9",300
93*,"499,9-599,9",300
93*,"599,9-699,9",300
93*,"699,9-1000",300
94*,"0-49,9",77
94*,"0,49-99,9",89
94*,"99,9-149,9",118
94*,"149,9-199,9",150
94*,"199,9-299,9",215
94*,"299,9-399,9",260
94*,"399,9-499,9",300
94*,"499,9-599,9",300
94*,"599,9-699,9",300
94*,"699,9-1000",300
95*,"0-49,9",77
95*,"0,49-99,9",89
95*,"99,9-149,9",118
95*,"149,9-199,9",150
95*,"199,9-299,9",215
95*,"299,9-399,9",260
95*,"399,9-499,9",300
95*,"499,9-599,9",300
95*,"599,9-699,9",300
95*,"699,9-1000",300
20*,"0-49,9",105
20*,"0,49-99,9",121
20*,"99,9-149,9",163
20*,"149,9-199,9",210
20*,"199,9-299,9",300
20*,"299,9-399,9",300
20*,"399,9-499,9",300
20*,"499,9-599,9",300
20*,"599,9-699,9",300
20*,"699,9-1000",300
22*,"0-49,9",105
22*,"0,49-99,9",121
22*,"99,9-149,9",163
22*,"149,9-199,9",210
22*,"199,9-299,9",300
22*,"299,9-399,9",300
22*,"399,9-499,9",300
22*,"499,9-599,9",300
22*,"599,9-699,9",300
22*,"699,9-1000",300
29*,"0-49,9",105
29*,"0,49-99,9",121
29*,"99,9-149,9",163
29*,"149,9-199,9",210
29*,"199,9-299,9",300
29*,"299,9-399,9",300
29*,"399,9-499,9",300
29*,"499,9-599,9",300
29*,"599,9-699,9",300
29*,"699,9-1000",300
35*,"0-49,9",105
